"","x"
"1018","ENSG00000204482"
"1019","ENSG00000196850"
"1020","ENSG00000172673"
"1021","ENSG00000147408"
"1022","ENSG00000173757"
"1023","ENSG00000160219"
"1024","ENSG00000167552"
"1025","ENSG00000284671"
"1026","ENSG00000198948"
"1027","ENSG00000185745"
"1028","ENSG00000126216"
"1029","ENSG00000180448"
"1030","ENSG00000177885"
"1031","ENSG00000145779"
"1032","ENSG00000167768"
"1033","ENSG00000165178"
"1034","ENSG00000172794"
"1035","ENSG00000115239"
"1036","ENSG00000125354"
"1037","ENSG00000196663"
"1038","ENSG00000228327"
"1039","ENSG00000112541"
"1040","ENSG00000114738"
"1041","ENSG00000148908"
"1042","ENSG00000064225"
"1043","ENSG00000160654"
"1044","ENSG00000240508"
"1045","ENSG00000243958"
"1046","ENSG00000111716"
"1047","ENSG00000068028"
"1048","ENSG00000147459"
"1049","ENSG00000073737"
"1050","ENSG00000107736"
"1051","ENSG00000140332"
"1052","ENSG00000177272"
"1053","ENSG00000204869"
"1054","ENSG00000276141"
"1055","ENSG00000072864"
"1056","ENSG00000275911"
"1057","ENSG00000168234"
"1058","ENSG00000124496"
"1059","ENSG00000185219"
"1060","ENSG00000283034"
"1061","ENSG00000124491"
"1062","ENSG00000277377"
"1063","ENSG00000164548"
"1064","ENSG00000198019"
"1065","ENSG00000260266"
"1066","ENSG00000117009"
"1067","ENSG00000106560"
"1068","ENSG00000100325"
